                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 5 30 2016                              
                              UCC -d -dir ./src ../UCC_old/src -ascii                              

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
 Total_CC1 Total_CC2 Total_CC3 Average_CC1  Risk        |   Name
         4            4            4   Low         size_t CUtil::TruncateLine                                     |   ../UCC_old/src/CUtil.cpp
         5            9            5   Low         string CUtil::ClearRedundantSpaces                             |   ../UCC_old/src/CUtil.cpp
         1            1            1   Low         string CUtil::ReplaceSmartQuotes                               |   ../UCC_old/src/CUtil.cpp
         1            1            1   Low         CVbCounter::CVbCounter                                         |   ../UCC_old/src/CVbCounter.cpp
        14           15           14   Medium      int CVbCounter::CountDirectiveSLOC                             |   ../UCC_old/src/CVbCounter.cpp
        32           37           32   High        int CVbCounter::LanguageSpecificProcess                        |   ../UCC_old/src/CVbCounter.cpp
        10           10           10   Low         int CVbCounter::ParseFunctionName                              |   ../UCC_old/src/CVbCounter.cpp
         1            1            1   Low         CVbscriptCounter::CVbscriptCounter                             |   ../UCC_old/src/CVbscriptCounter.cpp
         7            7            7   Low         int CVbscriptCounter::PreCountProcess                          |   ../UCC_old/src/CVbscriptCounter.cpp
         1            1            1   Low         CVbsPhpCounter::CVbsPhpCounter                                 |   ../UCC_old/src/CVbscriptCounter.cpp
         1            1            1   Low         CVbsHtmlCounter::CVbsHtmlCounter                               |   ../UCC_old/src/CVbscriptCounter.cpp
         1            1            1   Low         CVbsXmlCounter::CVbsXmlCounter                                 |   ../UCC_old/src/CVbscriptCounter.cpp
         1            1            1   Low         CVbsJspCounter::CVbsJspCounter                                 |   ../UCC_old/src/CVbscriptCounter.cpp
